Month,Client_Group,State,Count
2026-03-01,Indigenous,NSW,8046.0
2026-03-01,FDV,NSW,9262.0
2026-03-01,Mental health,NSW,8012.0
2026-03-01,Drug or alcohol issues,NSW,1721.0
2026-03-01,Financial assistance for accommodation,NSW,224.0
2026-03-01,Nights in emergency accommodation,NSW,50884.0
2026-03-01,Emergency accommodation,NSW,2399.0
2026-03-01,Homeless,NSW,12617.0
2026-03-01,At risk of homelessness,NSW,10606.0
2026-02-01,Indigenous,NSW,7920.0
2026-02-01,FDV,NSW,8986.0
2026-02-01,Mental health,NSW,7806.0
2026-02-01,Drug or alcohol issues,NSW,1729.0
2026-02-01,Financial assistance for accommodation,NSW,194.0
2026-02-01,Nights in emergency accommodation,NSW,46104.0
2026-02-01,Emergency accommodation,NSW,2278.0
2026-02-01,Homeless,NSW,12321.0
2026-02-01,At risk of homelessness,NSW,10336.0
2026-01-01,Indigenous,NSW,7724.0
2026-01-01,FDV,NSW,8698.0
2026-01-01,Mental health,NSW,7558.0
2026-01-01,Drug or alcohol issues,NSW,1710.0
2026-01-01,Financial assistance for accommodation,NSW,150.0
2026-01-01,Nights in emergency accommodation,NSW,48636.0
2026-01-01,Emergency accommodation,NSW,2178.0
2026-01-01,Homeless,NSW,12077.0
2026-01-01,At risk of homelessness,NSW,10078.0
2025-12-01,Indigenous,NSW,7593.0
2025-12-01,FDV,NSW,8457.0
2025-12-01,Mental health,NSW,7426.0
2025-12-01,Drug or alcohol issues,NSW,1704.0
2025-12-01,Financial assistance for accommodation,NSW,141.0
2025-12-01,Nights in emergency accommodation,NSW,49720.0
2025-12-01,Emergency accommodation,NSW,2152.0
2025-12-01,Homeless,NSW,11786.0
2025-12-01,At risk of homelessness,NSW,10120.0
2025-11-01,Indigenous,NSW,7953.0
2025-11-01,FDV,NSW,8876.0
2025-11-01,Mental health,NSW,7840.0
2025-11-01,Drug or alcohol issues,NSW,1807.0
2025-11-01,Financial assistance for accommodation,NSW,145.0
2025-11-01,Nights in emergency accommodation,NSW,47803.0
2025-11-01,Emergency accommodation,NSW,2161.0
2025-11-01,Homeless,NSW,12336.0
2025-11-01,At risk of homelessness,NSW,10332.0
2025-10-01,Indigenous,NSW,8207.0
2025-10-01,FDV,NSW,9110.0
2025-10-01,Mental health,NSW,8067.0
2025-10-01,Drug or alcohol issues,NSW,1819.0
2025-10-01,Financial assistance for accommodation,NSW,184.0
2025-10-01,Nights in emergency accommodation,NSW,49601.0
2025-10-01,Emergency accommodation,NSW,2302.0
2025-10-01,Homeless,NSW,12740.0
2025-10-01,At risk of homelessness,NSW,10661.0
2025-09-01,Indigenous,NSW,8307.0
2025-09-01,FDV,NSW,8936.0
2025-09-01,Mental health,NSW,8275.0
2025-09-01,Drug or alcohol issues,NSW,1848.0
2025-09-01,Financial assistance for accommodation,NSW,155.0
2025-09-01,Nights in emergency accommodation,NSW,48902.0
2025-09-01,Emergency accommodation,NSW,2292.0
2025-09-01,Homeless,NSW,12539.0
2025-09-01,At risk of homelessness,NSW,10782.0
2025-08-01,Indigenous,NSW,8183.0
2025-08-01,FDV,NSW,8917.0
2025-08-01,Mental health,NSW,8273.0
2025-08-01,Drug or alcohol issues,NSW,1848.0
2025-08-01,Financial assistance for accommodation,NSW,173.0
2025-08-01,Nights in emergency accommodation,NSW,51357.0
2025-08-01,Emergency accommodation,NSW,2335.0
2025-08-01,Homeless,NSW,12544.0
2025-08-01,At risk of homelessness,NSW,10663.0
2025-07-01,Indigenous,NSW,8292.0
2025-07-01,FDV,NSW,8950.0
2025-07-01,Mental health,NSW,8373.0
2025-07-01,Drug or alcohol issues,NSW,1853.0
2025-07-01,Financial assistance for accommodation,NSW,150.0
2025-07-01,Nights in emergency accommodation,NSW,50402.0
2025-07-01,Emergency accommodation,NSW,2300.0
2025-07-01,Homeless,NSW,12745.0
2025-07-01,At risk of homelessness,NSW,10717.0
2025-06-01,Indigenous,NSW,8336.0
2025-06-01,FDV,NSW,8961.0
2025-06-01,Mental health,NSW,8220.0
2025-06-01,Drug or alcohol issues,NSW,1822.0
2025-06-01,Financial assistance for accommodation,NSW,167.0
2025-06-01,Nights in emergency accommodation,NSW,49077.0
2025-06-01,Emergency accommodation,NSW,2259.0
2025-06-01,Homeless,NSW,12644.0
2025-06-01,At risk of homelessness,NSW,10884.0
2025-05-01,Indigenous,NSW,8326.0
2025-05-01,FDV,NSW,9028.0
2025-05-01,Mental health,NSW,8497.0
2025-05-01,Drug or alcohol issues,NSW,1867.0
2025-05-01,Financial assistance for accommodation,NSW,198.0
2025-05-01,Nights in emergency accommodation,NSW,50303.0
2025-05-01,Emergency accommodation,NSW,2323.0
2025-05-01,Homeless,NSW,12891.0
2025-05-01,At risk of homelessness,NSW,10937.0
2025-04-01,Indigenous,NSW,8054.0
2025-04-01,FDV,NSW,8818.0
2025-04-01,Mental health,NSW,8291.0
2025-04-01,Drug or alcohol issues,NSW,1853.0
2025-04-01,Financial assistance for accommodation,NSW,152.0
2025-04-01,Nights in emergency accommodation,NSW,49812.0
2025-04-01,Emergency accommodation,NSW,2274.0
2025-04-01,Homeless,NSW,12441.0
2025-04-01,At risk of homelessness,NSW,10740.0
2025-03-01,Indigenous,NSW,8229.0
2025-03-01,FDV,NSW,8999.0
2025-03-01,Mental health,NSW,8392.0
2025-03-01,Drug or alcohol issues,NSW,1842.0
2025-03-01,Financial assistance for accommodation,NSW,173.0
2025-03-01,Nights in emergency accommodation,NSW,50815.0
2025-03-01,Emergency accommodation,NSW,2442.0
2025-03-01,Homeless,NSW,12833.0
2025-03-01,At risk of homelessness,NSW,10904.0
2025-02-01,Indigenous,NSW,7886.0
2025-02-01,FDV,NSW,8865.0
2025-02-01,Mental health,NSW,8193.0
2025-02-01,Drug or alcohol issues,NSW,1785.0
2025-02-01,Financial assistance for accommodation,NSW,162.0
2025-02-01,Nights in emergency accommodation,NSW,46557.0
2025-02-01,Emergency accommodation,NSW,2312.0
2025-02-01,Homeless,NSW,12358.0
2025-02-01,At risk of homelessness,NSW,10848.0
2025-01-01,Indigenous,NSW,7644.0
2025-01-01,FDV,NSW,8613.0
2025-01-01,Mental health,NSW,8042.0
2025-01-01,Drug or alcohol issues,NSW,1768.0
2025-01-01,Financial assistance for accommodation,NSW,146.0
2025-01-01,Nights in emergency accommodation,NSW,50755.0
2025-01-01,Emergency accommodation,NSW,2266.0
2025-01-01,Homeless,NSW,12191.0
2025-01-01,At risk of homelessness,NSW,10293.0
2024-12-01,Indigenous,NSW,7466.0
2024-12-01,FDV,NSW,8382.0
2024-12-01,Mental health,NSW,7884.0
2024-12-01,Drug or alcohol issues,NSW,1743.0
2024-12-01,Financial assistance for accommodation,NSW,187.0
2024-12-01,Nights in emergency accommodation,NSW,50481.0
2024-12-01,Emergency accommodation,NSW,2278.0
2024-12-01,Homeless,NSW,11874.0
2024-12-01,At risk of homelessness,NSW,10269.0
2024-11-01,Indigenous,NSW,7908.0
2024-11-01,FDV,NSW,8798.0
2024-11-01,Mental health,NSW,8368.0
2024-11-01,Drug or alcohol issues,NSW,1880.0
2024-11-01,Financial assistance for accommodation,NSW,178.0
2024-11-01,Nights in emergency accommodation,NSW,49671.0
2024-11-01,Emergency accommodation,NSW,2324.0
2024-11-01,Homeless,NSW,12516.0
