Month,State,Clients
2017-07-01,NSW,22019.0
2017-08-01,NSW,22123.0
2017-09-01,NSW,22039.0
2017-10-01,NSW,22115.0
2017-11-01,NSW,22711.0
2017-12-01,NSW,21187.0
2018-01-01,NSW,22152.0
2018-02-01,NSW,22771.0
2018-03-01,NSW,23297.0
2018-04-01,NSW,22696.0
2018-05-01,NSW,23745.0
2018-06-01,NSW,23412.0
2018-07-01,NSW,23352.0
2018-08-01,NSW,23859.0
2018-09-01,NSW,23138.0
2018-10-01,NSW,23892.0
2018-11-01,NSW,23856.0
2018-12-01,NSW,22359.0
2019-01-01,NSW,23244.0
2019-02-01,NSW,23753.0
2019-03-01,NSW,24155.0
2019-04-01,NSW,23613.0
2019-05-01,NSW,24017.0
2019-06-01,NSW,23361.0
2019-07-01,NSW,23292.0
2019-08-01,NSW,23402.0
2019-09-01,NSW,23204.0
2019-10-01,NSW,23224.0
2019-11-01,NSW,23345.0
2019-12-01,NSW,22065.0
2020-01-01,NSW,23141.0
2020-02-01,NSW,23770.0
2020-03-01,NSW,24037.0
2020-04-01,NSW,22708.0
2020-05-01,NSW,22615.0
2020-06-01,NSW,23063.0
2020-07-01,NSW,22668.0
2020-08-01,NSW,22662.0
2020-09-01,NSW,23618.0
2020-10-01,NSW,23666.0
2020-11-01,NSW,24108.0
2020-12-01,NSW,23201.0
2021-01-01,NSW,23077.0
2021-02-01,NSW,24321.0
2021-03-01,NSW,25093.0
2021-04-01,NSW,24854.0
2021-05-01,NSW,25108.0
2021-06-01,NSW,24717.0
2021-07-01,NSW,24347.0
2021-08-01,NSW,24057.0
2021-09-01,NSW,23897.0
2021-10-01,NSW,23757.0
2021-11-01,NSW,24242.0
2021-12-01,NSW,23147.0
2022-01-01,NSW,22925.0
2022-02-01,NSW,23522.0
2022-03-01,NSW,24229.0
2022-04-01,NSW,23172.0
2022-05-01,NSW,23814.0
2022-06-01,NSW,23706.0
2022-07-01,NSW,22908.0
2022-08-01,NSW,23510.0
2022-09-01,NSW,23123.0
2022-10-01,NSW,23047.0
2022-11-01,NSW,23572.0
2022-12-01,NSW,22452.0
2023-01-01,NSW,22942.0
2023-02-01,NSW,23999.0
2023-03-01,NSW,24792.0
2023-04-01,NSW,23050.0
2023-05-01,NSW,24069.0
2023-06-01,NSW,23673.0
2023-07-01,NSW,23574.0
2023-08-01,NSW,24079.0
2023-09-01,NSW,23617.0
2023-10-01,NSW,23667.0
2023-11-01,NSW,23956.0
2023-12-01,NSW,22753.0
2024-01-01,NSW,23238.0
2024-02-01,NSW,23822.0
2024-03-01,NSW,23938.0
2024-04-01,NSW,24032.0
2024-05-01,NSW,24616.0
2024-06-01,NSW,24024.0
2024-07-01,NSW,24490.0
2024-08-01,NSW,24036.0
2024-09-01,NSW,23855.0
2024-10-01,NSW,24176.0
2024-11-01,NSW,23936.0
2024-12-01,NSW,22688.0
2025-01-01,NSW,23044.0
2025-02-01,NSW,23841.0
2025-03-01,NSW,24407.0
2025-04-01,NSW,23867.0
2025-05-01,NSW,24464.0
2025-06-01,NSW,24205.0
2025-07-01,NSW,24002.0
2025-08-01,NSW,23700.0
2025-09-01,NSW,23976.0
2025-10-01,NSW,23951.0
2025-11-01,NSW,23235.0
2025-12-01,NSW,22451.0
2026-01-01,NSW,22653.0
2026-02-01,NSW,23178.0
2026-03-01,NSW,23755.0
2017-07-01,Vic,30511.0
2017-08-01,Vic,31526.0
2017-09-01,Vic,30538.0
2017-10-01,Vic,31564.0
2017-11-01,Vic,31732.0
2017-12-01,Vic,30767.0
2018-01-01,Vic,32007.0
2018-02-01,Vic,32126.0
2018-03-01,Vic,32966.0
2018-04-01,Vic,32834.0
2018-05-01,Vic,34338.0
2018-06-01,Vic,32804.0
2018-07-01,Vic,33003.0
2018-08-01,Vic,32601.0
2018-09-01,Vic,31081.0
2018-10-01,Vic,32738.0
2018-11-01,Vic,32834.0
2018-12-01,Vic,31626.0
2019-01-01,Vic,32397.0
2019-02-01,Vic,33139.0
2019-03-01,Vic,33515.0
2019-04-01,Vic,32752.0
2019-05-01,Vic,34310.0
2019-06-01,Vic,32761.0
2019-07-01,Vic,33474.0
2019-08-01,Vic,33482.0
2019-09-01,Vic,32679.0
2019-10-01,Vic,34011.0
2019-11-01,Vic,33239.0
2019-12-01,Vic,33311.0
2020-01-01,Vic,34049.0
2020-02-01,Vic,33814.0
2020-03-01,Vic,34067.0
2020-04-01,Vic,33195.0
2020-05-01,Vic,33007.0
2020-06-01,Vic,33274.0
2020-07-01,Vic,33086.0
2020-08-01,Vic,32786.0
2020-09-01,Vic,33661.0
2020-10-01,Vic,33352.0
2020-11-01,Vic,33575.0
2020-12-01,Vic,32621.0
2021-01-01,Vic,31797.0
2021-02-01,Vic,32399.0
2021-03-01,Vic,32905.0
2021-04-01,Vic,32618.0
2021-05-01,Vic,33787.0
2021-06-01,Vic,34098.0
2021-07-01,Vic,34166.0
2021-08-01,Vic,34152.0
2021-09-01,Vic,33717.0
2021-10-01,Vic,33681.0
2021-11-01,Vic,33382.0
2021-12-01,Vic,32286.0
2022-01-01,Vic,31613.0
2022-02-01,Vic,32478.0
2022-03-01,Vic,33117.0
2022-04-01,Vic,31258.0
2022-05-01,Vic,32698.0
2022-06-01,Vic,32535.0
2022-07-01,Vic,31755.0
2022-08-01,Vic,32676.0
2022-09-01,Vic,32194.0
2022-10-01,Vic,32108.0
2022-11-01,Vic,32080.0
2022-12-01,Vic,31099.0
2023-01-01,Vic,31334.0
2023-02-01,Vic,32087.0
2023-03-01,Vic,32776.0
2023-04-01,Vic,31233.0
2023-05-01,Vic,33269.0
2023-06-01,Vic,32674.0
2023-07-01,Vic,31901.0
2023-08-01,Vic,33010.0
2023-09-01,Vic,31662.0
2023-10-01,Vic,32520.0
2023-11-01,Vic,32632.0
2023-12-01,Vic,31307.0
2024-01-01,Vic,32418.0
2024-02-01,Vic,33028.0
2024-03-01,Vic,32727.0
2024-04-01,Vic,32755.0
2024-05-01,Vic,33457.0
2024-06-01,Vic,32519.0
2024-07-01,Vic,32812.0
2024-08-01,Vic,32375.0
2024-09-01,Vic,32359.0
2024-10-01,Vic,33097.0
