Month,Group,Reason,State,Count,record_type
2026-03-01,Accommodation,Accommodation,NSW,13037.0,group_total
2026-03-01,Financial,Financial,NSW,11368.0,group_total
2026-03-01,Interpersonal,Interpersonal Relationships,NSW,12195.0,group_total
2026-03-01,Health,Health,NSW,5569.0,group_total
2026-03-01,Other,Other,NSW,7059.0,group_total
2026-03-01,Not stated,Not stated,NSW,96.0,group_total
2026-03-01,Total,Total Clients,NSW,23755.0,group_total
2026-02-01,Accommodation,Accommodation,NSW,12784.0,group_total
2026-02-01,Financial,Financial,NSW,11112.0,group_total
2026-02-01,Interpersonal,Interpersonal Relationships,NSW,11874.0,group_total
2026-02-01,Health,Health,NSW,5523.0,group_total
2026-02-01,Other,Other,NSW,6891.0,group_total
2026-02-01,Not stated,Not stated,NSW,126.0,group_total
2026-02-01,Total,Total Clients,NSW,23178.0,group_total
2026-01-01,Accommodation,Accommodation,NSW,12743.0,group_total
2026-01-01,Financial,Financial,NSW,10949.0,group_total
2026-01-01,Interpersonal,Interpersonal Relationships,NSW,11496.0,group_total
2026-01-01,Health,Health,NSW,5360.0,group_total
2026-01-01,Other,Other,NSW,6634.0,group_total
2026-01-01,Not stated,Not stated,NSW,124.0,group_total
2026-01-01,Total,Total Clients,NSW,22653.0,group_total
2025-12-01,Accommodation,Accommodation,NSW,12519.0,group_total
2025-12-01,Financial,Financial,NSW,10754.0,group_total
2025-12-01,Interpersonal,Interpersonal Relationships,NSW,11291.0,group_total
2025-12-01,Health,Health,NSW,5326.0,group_total
2025-12-01,Other,Other,NSW,6682.0,group_total
2025-12-01,Not stated,Not stated,NSW,124.0,group_total
2025-12-01,Total,Total Clients,NSW,22451.0,group_total
2025-11-01,Accommodation,Accommodation,NSW,12986.0,group_total
2025-11-01,Financial,Financial,NSW,11123.0,group_total
2025-11-01,Interpersonal,Interpersonal Relationships,NSW,11748.0,group_total
2025-11-01,Health,Health,NSW,5640.0,group_total
2025-11-01,Other,Other,NSW,6832.0,group_total
2025-11-01,Not stated,Not stated,NSW,136.0,group_total
2025-11-01,Total,Total Clients,NSW,23235.0,group_total
2025-10-01,Accommodation,Accommodation,NSW,13514.0,group_total
2025-10-01,Financial,Financial,NSW,11535.0,group_total
2025-10-01,Interpersonal,Interpersonal Relationships,NSW,12113.0,group_total
2025-10-01,Health,Health,NSW,5764.0,group_total
2025-10-01,Other,Other,NSW,7056.0,group_total
2025-10-01,Not stated,Not stated,NSW,157.0,group_total
2025-10-01,Total,Total Clients,NSW,23951.0,group_total
2025-09-01,Accommodation,Accommodation,NSW,13500.0,group_total
2025-09-01,Financial,Financial,NSW,11448.0,group_total
2025-09-01,Interpersonal,Interpersonal Relationships,NSW,11944.0,group_total
2025-09-01,Health,Health,NSW,5812.0,group_total
2025-09-01,Other,Other,NSW,7093.0,group_total
2025-09-01,Not stated,Not stated,NSW,145.0,group_total
2025-09-01,Total,Total Clients,NSW,23976.0,group_total
2025-08-01,Accommodation,Accommodation,NSW,13415.0,group_total
2025-08-01,Financial,Financial,NSW,11367.0,group_total
2025-08-01,Interpersonal,Interpersonal Relationships,NSW,11818.0,group_total
2025-08-01,Health,Health,NSW,5813.0,group_total
2025-08-01,Other,Other,NSW,7074.0,group_total
